id_unique,plateforme,source,type_contenu,texte_original,texte_nettoye,longueur_nettoyee,date_publication,date_collecte,strategie_collecte,mot_cle_recherche,langue,confiance_langue,sentiment_pred,label_pred,confiance_pred,topic_id,theme,topic_probability
3a54afff63f828d96d4bc16fe4f2754b,facebook,page,post,Merci pour les conseils c'est important. Mais à quand la baisse du coût de l'électricité au Sénégal ? Cette question reste toujours sans réponse !,merci pour les conseils c'est important. mais à quand la baisse du coût de l'électricité au sénégal? cette question reste toujours sans réponse!,144,2025-09-24 09:30:06+00:00,2025-12-23 01:23:28,page_officielle,,fr,0.9,negative,0,0.9712283611297609,5,woyofal,0.7874729158615994
27c3ec172aa168c4da86f33b7ead56fc,facebook,page,post,"Bonsoir Cheikhou Oumar Seck, votre question est bien prise en compte et elle sera transmise à qui de droit.","bonsoir cheikhou oumar seck, votre question est bien prise en compte et elle sera transmise à qui de droit.",107,2025-04-12 08:47:04+00:00,2025-12-23 01:23:30,page_officielle,,fr,0.9,negative,0,0.974915325641632,5,woyofal,0.7282459801236166
0ea339d8179d0aa6f18d27b012cc3ced,facebook,page,post,Senelec- L'Officiel SENELEC au service des clients @super fans,senelec- l'officiel senelec au service des clients fans,55,2024-03-17 12:34:55+00:00,2025-12-23 01:23:30,page_officielle,,fr,0.9,positive,2,0.6848757863044739,3,service_client,0.6372070846313679
49514eb0f4892ca75efe53560e20d506,facebook,page,post,"Senelec- L'OfficielAlassane Laye Samb Bonsoir, Senelec vous présente ses excuses pour le désagrément occasionné. Nous avons une panne dans la zon… .","senelec- l'officielalassane laye samb bonsoir, senelec vous présente ses excuses pour le désagrément occasionné. nous avons une panne dans la zon .",147,2024-09-21 23:13:35+00:00,2025-12-23 01:23:30,page_officielle,,fr,0.9,negative,0,0.9771139025688172,0,woyofal,0.796548599593432
5e03972394364583ee6adabf36068804,facebook,page,post,"Pourquoi il y a plus de compteur électrique à kolda, incompétent k vous êtes… .","pourquoi il y a plus de compteur électrique à kolda, incompétent k vous êtes .",78,2024-10-14 02:45:16+00:00,2025-12-23 01:23:30,page_officielle,,fr,0.9,negative,0,0.9756264686584472,5,woyofal,0.5568130921287959
82516dafce560d19e945a233e0900fed,facebook,page,post,Bonjour Khadim Séne Pour une demande d’abonnement il faut : Une copie de votre pièce d’identité… .,bonjour khadim séne pour une demande d abonnement il faut: une copie de votre pièce d identité .,96,2025-05-20 07:09:51+00:00,2025-12-23 01:23:30,page_officielle,,fr,0.9,negative,0,0.9773107171058656,4,facturation,0.7252098440650783
078154067d460bf549ef7b8eab6e2fdd,facebook,page,post,Point E pas de courant tjrs!!,point e pas de courant tjrs!,28,2025-08-20 23:49:47+00:00,2025-12-23 01:23:30,page_officielle,,fr,0.9,positive,2,0.9452899694442748,0,woyofal,0.5624812191492985
7ca4de1bca9ecd72cd73146b3ab51a54,facebook,page,post,Quel mauvais journée,quel mauvais journée,20,2025-07-25 14:05:35+00:00,2025-12-23 01:23:30,page_officielle,,fr,0.9,negative,0,0.951607346534729,5,woyofal,0.6791568175855306
93828f6527ba23028d70c36f220ad1fe,facebook,page,post,C’est une erreur de citer le poste Hann il faut revoir votre façon de communiquer fallait se limiter à un incident seulement. Donc poste Hann mom kou beuga khagn rewmi courant fofou ngay dem bayilen thiakhane yi way,c est une erreur de citer le poste hann il faut revoir votre façon de communiquer fallait se limiter à un incident seulement. donc poste hann mom kou beuga khagn rewmi courant fofou ngay dem bayilen thiakhane yi way,215,2025-04-11 10:30:01+00:00,2025-12-23 01:23:31,page_officielle,,fr,0.9,negative,0,0.9526283740997314,2,coupure,0.373001519518462
e3079a2e280db94ff973ab2d2d83d7e6,facebook,page,post,Avec le service Cossuel c’est pas évident si vous déménagez à une lieu qui n’est pas respectée les normes d’installation c’est compliqué,avec le service cossuel c est pas évident si vous déménagez à une lieu qui n est pas respectée les normes d installation c est compliqué,136,2024-05-13 11:51:19+00:00,2025-12-23 01:23:31,page_officielle,,fr,0.9,negative,0,0.9775375127792358,5,woyofal,0.7048639089570649
